id,test_time,location_id,test_type_id,lab_request_sample_id
1,,5,5,24
2,,3,5,24
3,,5,1,24
4,,3,1,24
5,,6,5,52
6,,4,5,52
7,,6,4,52
8,,4,4,52
9,,6,1,52
10,,4,1,52
11,,5,5,56
12,,3,5,56
13,,5,4,56
14,,3,4,56
15,,5,1,56
16,,3,1,56
17,,5,5,57
18,,3,5,57
19,,5,4,57
20,,3,4,57
21,,5,1,57
22,,3,1,57
23,,5,5,58
24,,3,5,58
25,,5,4,58
26,,3,4,58
27,,5,1,58
28,,3,1,58
29,,5,7,72
30,,5,5,72
31,,5,4,72
32,,5,1,72
33,,5,7,73
34,,5,5,73
35,,5,4,73
36,,5,1,73
37,,5,7,74
38,,5,5,74
39,,5,4,74
40,,5,1,74
41,,5,7,75
42,,5,5,75
43,,5,4,75
44,,5,1,75
45,,5,7,76
46,,5,5,76
47,,5,4,76
48,,5,1,76
49,,5,7,77
50,,5,5,77
51,,5,4,77
52,,5,1,77
53,,5,7,78
54,,5,5,78
55,,5,4,78
56,,5,1,78
57,,5,7,122
58,,4,7,123
59,,5,5,123
60,,4,5,123
61,,3,5,123
62,,5,1,123
63,,4,1,123
64,,3,1,123
65,,4,7,124
66,,5,5,124
67,,4,5,124
68,,3,5,124
69,,5,1,124
70,,4,1,124
71,,3,1,124
72,,4,7,125
73,,5,5,125
74,,4,5,125
75,,3,5,125
76,,5,1,125
77,,4,1,125
78,,3,1,125
79,,6,7,139
80,,4,7,139
81,,6,5,139
82,,4,5,139
83,,6,1,139
84,,4,1,139
85,,6,7,140
86,,4,7,140
87,,6,5,140
88,,4,5,140
89,,6,1,140
90,,4,1,140
91,,5,5,153
92,,3,5,153
93,,5,1,153
94,,3,1,153
95,,5,5,154
96,,3,5,154
97,,5,1,154
98,,3,1,154
99,,1,7,158
100,,5,5,158
101,,3,5,158
102,,5,1,158
103,,3,1,158
104,,1,7,159
105,,5,5,159
106,,3,5,159
107,,5,1,159
108,,3,1,159
109,,1,7,161
110,,5,5,161
111,,3,5,161
112,,5,1,161
113,,3,1,161
114,,6,5,168
115,,4,5,168
116,,6,4,168
117,,4,4,168
118,,6,1,168
119,,4,1,168
120,,6,5,187
121,,2,5,187
122,,6,4,187
123,,2,4,187
124,,6,1,187
125,,2,1,187
126,,4,5,188
127,,4,4,188
128,,4,1,188
129,,5,5,200
130,,3,5,200
131,,5,4,200
132,,3,4,200
133,,5,1,200
134,,3,1,200
135,,5,5,201
136,,3,5,201
137,,5,4,201
138,,3,4,201
139,,5,1,201
140,,3,1,201
141,,5,5,202
142,,3,5,202
143,,5,4,202
144,,3,4,202
145,,5,1,202
146,,3,1,202
147,,6,5,226
148,,3,5,226
149,,6,4,226
150,,3,4,226
151,,6,1,226
152,,3,1,226
153,,6,5,227
154,,3,5,227
155,,6,4,227
156,,3,4,227
157,,6,1,227
158,,3,1,227
159,,6,5,228
160,,3,5,228
161,,6,4,228
162,,3,4,228
163,,6,1,228
164,,3,1,228
165,,6,5,229
166,,3,5,229
167,,6,4,229
168,,3,4,229
169,,6,1,229
170,,3,1,229
171,,6,5,270
172,,4,5,270
173,,2,5,270
174,,6,4,270
175,,4,4,270
176,,2,4,270
177,,6,1,270
178,,4,1,270
179,,2,1,270
180,,6,5,271
181,,2,5,271
182,,6,4,271
183,,2,4,271
184,,6,1,271
185,,2,1,271
186,,6,5,276
187,,4,5,276
188,,2,5,276
189,,6,4,276
190,,4,4,276
191,,2,4,276
192,,6,1,276
193,,4,1,276
194,,2,1,276
195,,1,5,277
196,,1,4,277
213,,5,7,297
214,,5,5,297
215,,5,4,297
216,,5,1,297
217,,5,7,298
218,,5,5,298
219,,5,4,298
220,,5,1,298
221,,5,7,299
222,,5,5,299
223,,5,4,299
224,,5,1,299
225,,5,7,300
226,,5,5,300
227,,5,4,300
228,,5,1,300
229,,5,7,301
230,,5,5,301
231,,5,4,301
232,,5,1,301
233,,5,7,302
234,,5,5,302
235,,5,4,302
236,,5,1,302
237,,5,8,302
250,,5,5,307
251,,3,5,307
252,,5,4,307
253,,3,4,307
254,,5,1,307
255,,3,1,307
256,,5,5,308
257,,3,5,308
258,,5,4,308
259,,3,4,308
260,,5,1,308
261,,3,1,308
262,,5,5,309
263,,3,5,309
264,,5,4,309
265,,3,4,309
266,,5,1,309
267,,3,1,309
268,,5,7,312
269,,5,5,312
270,,3,5,312
271,,5,1,312
272,,3,1,312
273,,5,7,313
274,,5,5,313
275,,3,5,313
276,,5,1,313
277,,3,1,313
278,,5,7,314
279,,5,5,314
280,,3,5,314
281,,5,1,314
282,,3,1,314
283,,5,7,315
284,,5,5,315
285,,3,5,315
286,,5,1,315
287,,3,1,315
288,,5,5,318
289,,3,5,318
290,,5,1,318
291,,3,1,318
292,,5,5,319
293,,3,5,319
294,,5,1,319
295,,3,1,319
296,,5,5,320
297,,3,5,320
298,,5,1,320
299,,3,1,320
300,,5,5,331
301,,3,5,331
302,,5,4,331
303,,3,4,331
304,,6,5,338
305,,2,5,338
306,,6,4,338
307,,2,4,338
308,,6,1,338
309,,2,1,338
310,,6,5,339
311,,2,5,339
312,,6,4,339
313,,2,4,339
314,,6,1,339
315,,2,1,339
316,,6,7,340
317,,6,5,340
318,,4,5,340
319,,2,5,340
320,,6,4,340
321,,4,4,340
322,,6,1,340
323,,4,1,340
324,,2,1,340
325,,5,5,341
326,,4,5,341
327,,3,5,341
328,,5,4,341
329,,4,4,341
330,,3,4,341
331,,5,1,341
332,,4,1,341
333,,3,1,341
334,,5,5,342
335,,4,5,342
336,,3,5,342
337,,5,4,342
338,,4,4,342
339,,3,4,342
340,,5,1,342
341,,4,1,342
342,,3,1,342
343,,1,5,350
344,,4,5,358
345,,4,4,358
346,,4,1,358
347,,5,5,387
348,,4,5,387
349,,5,1,387
350,,4,1,387
351,,5,5,388
352,,4,5,388
353,,5,1,388
354,,4,1,388
403,,5,5,398
404,,3,5,398
405,,5,4,398
406,,3,4,398
407,,5,1,398
408,,3,1,398
409,,5,5,399
410,,3,5,399
411,,5,4,399
412,,3,4,399
413,,5,1,399
414,,3,1,399
415,,5,5,400
416,,3,5,400
417,,5,4,400
418,,3,4,400
419,,5,1,400
420,,3,1,400
421,,5,5,401
422,,3,5,401
423,,5,4,401
424,,3,4,401
425,,5,1,401
426,,3,1,401
427,,5,5,402
428,,3,5,402
429,,5,4,402
430,,3,4,402
431,,5,1,402
432,,3,1,402
433,,5,5,403
434,,3,5,403
435,,5,4,403
436,,3,4,403
437,,5,1,403
438,,3,1,403
439,,5,5,404
440,,3,5,404
441,,5,4,404
442,,3,4,404
443,,5,1,404
444,,3,1,404
445,,5,5,405
446,,3,5,405
447,,5,4,405
448,,3,4,405
449,,5,1,405
450,,3,1,405
451,,5,5,406
452,,3,5,406
453,,5,4,406
454,,3,4,406
455,,5,1,406
456,,3,1,406
457,,5,5,407
458,,3,5,407
459,,5,4,407
460,,3,4,407
461,,5,1,407
462,,3,1,407
463,,5,5,408
464,,3,5,408
465,,5,4,408
466,,3,4,408
467,,5,1,408
468,,3,1,408
469,,5,5,409
470,,3,5,409
471,,5,4,409
472,,3,4,409
473,,5,1,409
474,,3,1,409
475,,5,5,410
476,,3,5,410
477,,5,4,410
478,,3,4,410
479,,5,1,410
480,,3,1,410
481,,5,5,411
482,,3,5,411
483,,5,4,411
484,,3,4,411
485,,5,1,411
486,,3,1,411
487,,5,5,412
488,,3,5,412
489,,5,4,412
490,,3,4,412
491,,5,1,412
492,,3,1,412
493,,5,5,413
494,,3,5,413
495,,5,4,413
496,,3,4,413
497,,5,1,413
498,,3,1,413
499,,5,5,417
500,,3,5,417
501,,5,4,417
502,,3,4,417
503,,5,1,417
504,,3,1,417
505,,5,5,418
506,,3,5,418
507,,5,4,418
508,,3,4,418
509,,5,1,418
510,,3,1,418
511,,5,5,419
512,,3,5,419
513,,5,4,419
514,,3,4,419
515,,5,1,419
516,,3,1,419
517,,5,5,420
518,,3,5,420
519,,5,4,420
520,,3,4,420
521,,5,1,420
522,,3,1,420
523,,5,5,421
524,,3,5,421
525,,5,4,421
526,,3,4,421
527,,5,1,421
528,,3,1,421
529,,5,5,422
530,,3,5,422
531,,5,4,422
532,,3,4,422
533,,5,1,422
534,,3,1,422
535,,5,1,425
536,,3,1,425
537,,5,1,426
538,,3,1,426
539,,5,1,427
540,,3,1,427
541,,5,1,428
542,,3,1,428
543,,5,5,432
544,,3,5,432
545,,5,4,432
546,,3,4,432
547,,5,1,432
548,,3,1,432
549,,5,5,433
550,,3,5,433
551,,5,4,433
552,,3,4,433
553,,5,1,433
554,,3,1,433
555,,5,5,434
556,,3,5,434
557,,5,4,434
558,,3,4,434
559,,5,1,434
560,,3,1,434
561,,5,5,435
562,,3,5,435
563,,5,4,435
564,,3,4,435
565,,5,1,435
566,,3,1,435
567,,5,5,436
568,,3,5,436
569,,5,4,436
570,,3,4,436
571,,5,1,436
572,,3,1,436
573,,5,5,437
574,,3,5,437
575,,5,4,437
576,,3,4,437
577,,5,1,437
578,,3,1,437
579,,5,5,438
580,,3,5,438
581,,5,4,438
582,,3,4,438
583,,5,1,438
584,,3,1,438
585,,6,5,446
586,,4,4,446
587,,6,5,447
588,,4,4,447
589,,6,5,454
590,,2,5,454
591,,6,1,454
592,,2,1,454
593,,6,5,455
594,,2,5,455
595,,6,1,455
596,,2,1,455
597,,6,5,456
598,,2,5,456
599,,6,1,456
600,,2,1,456
601,,6,5,457
602,,2,5,457
603,,6,1,457
604,,2,1,457
605,,5,5,458
606,,3,5,458
607,,5,4,458
608,,3,4,458
609,,5,5,459
610,,3,5,459
611,,5,4,459
612,,3,4,459
613,,5,5,460
614,,3,5,460
615,,5,4,460
616,,3,4,460
617,,5,5,461
618,,3,5,461
619,,5,4,461
620,,3,4,461
621,,5,5,472
622,,3,5,472
623,,5,4,472
624,,3,4,472
625,,5,1,472
626,,3,1,472
627,,5,5,473
628,,3,5,473
629,,5,4,473
630,,3,4,473
631,,5,1,473
632,,3,1,473
633,,5,5,474
634,,3,5,474
635,,5,4,474
636,,3,4,474
637,,5,1,474
638,,3,1,474
639,,5,5,475
640,,3,5,475
641,,5,4,475
642,,3,4,475
643,,5,1,475
644,,3,1,475
645,,5,5,476
646,,3,5,476
647,,5,4,476
648,,3,4,476
649,,5,1,476
650,,3,1,476
651,,5,5,477
652,,3,5,477
653,,5,4,477
654,,3,4,477
655,,5,1,477
656,,3,1,477
657,,5,5,478
658,,3,5,478
659,,5,4,478
660,,3,4,478
661,,5,1,478
662,,3,1,478
663,,5,5,479
664,,3,5,479
665,,5,4,479
666,,3,4,479
667,,5,1,479
668,,3,1,479
669,,5,5,480
670,,3,5,480
671,,5,4,480
672,,3,4,480
673,,5,1,480
674,,3,1,480
675,,5,5,481
676,,3,5,481
677,,5,4,481
678,,3,4,481
679,,5,1,481
680,,3,1,481
681,,5,5,482
682,,3,5,482
683,,5,4,482
684,,3,4,482
685,,5,1,482
686,,3,1,482
687,,5,5,483
688,,3,5,483
689,,5,4,483
690,,3,4,483
691,,5,1,483
692,,3,1,483
693,,5,5,484
694,,3,5,484
695,,5,4,484
696,,3,4,484
697,,5,1,484
698,,3,1,484
699,,5,5,485
700,,3,5,485
701,,5,4,485
702,,3,4,485
703,,5,1,485
704,,3,1,485
705,,5,5,486
706,,3,5,486
707,,5,4,486
708,,3,4,486
709,,5,1,486
710,,3,1,486
711,,5,5,487
712,,3,5,487
713,,5,4,487
714,,3,4,487
715,,5,1,487
716,,3,1,487
717,,5,5,488
718,,3,5,488
719,,5,4,488
720,,3,4,488
721,,5,1,488
722,,3,1,488
723,,5,5,489
724,,3,5,489
725,,5,4,489
726,,3,4,489
727,,5,1,489
728,,3,1,489
729,,5,5,506
730,,3,5,506
731,,5,4,506
732,,5,1,506
733,,3,1,506
734,,5,5,507
735,,3,5,507
736,,5,4,507
737,,5,1,507
738,,3,1,507
739,,5,5,508
740,,3,5,508
741,,5,4,508
742,,5,1,508
743,,3,1,508
744,,5,5,509
745,,3,5,509
746,,5,4,509
747,,5,1,509
748,,3,1,509
749,,3,4,506
750,,3,4,507
751,,3,4,508
752,,3,4,509
753,,5,5,520
754,,3,5,520
755,,5,4,520
756,,3,4,520
757,,5,5,521
758,,3,5,521
759,,5,4,521
760,,3,4,521
761,,5,5,522
762,,3,5,522
763,,5,4,522
764,,3,4,522
765,,5,5,523
766,,3,5,523
767,,5,4,523
768,,3,4,523
769,,6,5,543
770,,2,5,543
771,,6,4,543
772,,2,4,543
773,,6,1,543
774,,2,1,543
775,,6,5,544
776,,2,5,544
777,,6,4,544
778,,2,4,544
779,,6,1,544
780,,2,1,544
781,,6,5,604
782,,2,5,604
783,,6,4,604
784,,2,4,604
785,,6,1,604
786,,2,1,604
787,,6,5,605
788,,2,5,605
789,,6,4,605
790,,2,4,605
791,,6,1,605
792,,2,1,605
793,,6,5,606
794,,2,5,606
795,,6,4,606
796,,2,4,606
797,,6,1,606
798,,2,1,606
799,,6,5,607
800,,2,5,607
801,,6,4,607
802,,2,4,607
803,,6,1,607
804,,2,1,607
805,,6,5,608
806,,2,5,608
807,,6,4,608
808,,2,4,608
809,,6,1,608
810,,2,1,608
811,,6,5,609
812,,2,5,609
813,,6,4,609
814,,2,4,609
815,,6,1,609
816,,2,1,609
817,,6,7,615
818,,4,7,615
819,,6,5,615
820,,4,5,615
821,,6,4,615
822,,4,4,615
823,,6,1,615
824,,4,1,615
825,,6,5,688
826,,4,5,688
827,,6,1,688
828,,4,1,688
829,,6,7,690
830,,2,7,690
831,,6,5,690
832,,2,5,690
833,,6,4,690
834,,2,4,690
835,,6,1,690
836,,2,1,690
837,,6,5,693
838,,2,5,693
839,,6,4,693
840,,2,4,693
841,,6,5,694
842,,2,5,694
843,,6,4,694
844,,2,4,694
845,,6,5,695
846,,2,5,695
847,,6,4,695
848,,2,4,695
849,,6,5,696
850,,2,5,696
851,,6,4,696
852,,2,4,696
853,,6,5,697
854,,2,5,697
855,,6,4,697
856,,2,4,697
857,,6,5,698
858,,2,5,698
859,,6,4,698
860,,2,4,698
861,,6,5,699
862,,2,5,699
863,,6,4,699
864,,2,4,699
865,,6,5,700
866,,2,5,700
867,,6,4,700
868,,2,4,700
869,,1,5,703
870,,6,5,704
871,,4,5,704
872,,6,1,704
873,,4,1,704
874,,5,7,705
875,,5,5,705
876,,5,4,705
877,,5,1,705
878,,6,5,718
879,,4,5,718
880,,6,1,718
881,,4,1,718
882,,6,5,719
883,,4,5,719
884,,6,1,719
885,,4,1,719
886,,6,5,720
887,,4,5,720
888,,6,1,720
889,,4,1,720
