id,app,name,applied
1,contenttypes,0001_initial,2023-02-01 14:57:38.582973
2,auth,0001_initial,2023-02-01 14:57:38.645473
3,contenttypes,0002_remove_content_type_name,2023-02-01 14:57:39.082973
4,auth,0002_alter_permission_name_max_length,2023-02-01 14:57:39.114223
5,auth,0003_alter_user_email_max_length,2023-02-01 14:57:39.129848
6,auth,0004_alter_user_username_opts,2023-02-01 14:57:39.145473
7,auth,0005_alter_user_last_login_null,2023-02-01 14:57:39.161098
8,auth,0006_require_contenttypes_0002,2023-02-01 14:57:39.161098
9,auth,0007_alter_validators_add_error_messages,2023-02-01 14:57:39.176723
10,Global,0001_initial,2023-02-01 14:57:39.364223
11,FCUP,0001_initial,2023-02-01 14:57:40.077112
12,FCUP,0002_auto_20160325_1355,2023-02-01 14:57:40.092737
13,FCUP,0003_add_EIA_codes_facilities_units,2023-02-01 14:57:40.170862
14,FCUP,0004_update_EIA_codes,2023-02-01 14:57:40.186487
15,FCUP,0005_ForeignKey__on_delete,2023-02-01 14:57:41.295862
16,FCUP,0006_FK__on_delete,2023-02-01 14:57:41.342737
17,Global,0002_roundhoneycombcatalysts,2023-02-01 14:57:41.373987
18,Global,0003_datamigration_signoffs,2023-02-01 14:57:41.389612
19,Global,0004_userprofile_initials,2023-02-01 14:57:41.405237
20,Global,0005_signofftemplate_appliesto,2023-02-01 14:57:41.436487
21,Global,0006_guaranteetypes_referencecode,2023-02-01 14:57:41.452112
22,Global,0007_companies_eia_id,2023-02-01 14:57:41.467737
23,Global,0008_operatingconditions_vocs,2023-02-01 14:57:41.483362
24,Global,0009_remove_hgoperatingconditions_hydrocarbons,2023-02-01 14:57:41.498987
25,Global,0010_catalystbasedparts,2023-02-01 14:57:41.545862
26,FCUP,0005_SCRLayers_add_fields,2023-02-01 14:57:41.639612
27,FCUP,0007_merge_20200225_1356,2023-02-01 14:57:41.639612
28,FCUP,0008_SCRLayer__on_delete,2023-02-01 14:57:41.717737
29,FCUP,0009_alter_units_eia_generator_id,2023-02-01 14:57:41.748987
30,Global,0011_ForeignKey__on_delete,2023-02-01 14:57:42.671838
31,Global,0012_add_ModuleSealingDirection_jackLocations,2023-02-01 14:57:42.703088
32,Global,0013_add_Module_details__jacking_type,2023-02-01 14:57:42.812463
33,Global,0014_remove_moduledetails_elementsperhalfpleat,2023-02-01 14:57:42.828088
34,Global,0015_auto_20210827_1040,2023-02-01 14:57:42.843713
35,Global,0016_honeycombcatalysts_modulesizingod,2023-02-01 14:57:42.859338
36,Global,0017_index_Signoff,2023-02-01 14:57:42.906213
37,admin,0001_initial,2023-02-01 14:57:43.046838
38,admin,0002_logentry_remove_auto_add,2023-02-01 14:57:43.140588
39,admin,0003_logentry_add_action_flag_choices,2023-02-01 14:57:43.203088
40,auth,0008_alter_user_username_max_length,2023-02-01 14:57:44.110315
41,auth,0009_alter_user_last_name_max_length,2023-02-01 14:57:44.141565
42,auth,0010_alter_group_name_max_length,2023-02-01 14:57:44.563440
43,auth,0011_update_proxy_permissions,2023-02-01 14:57:44.610315
44,auth,0012_alter_user_first_name_max_length,2023-02-01 14:57:44.625940
45,samples,0001_initial,2023-02-01 14:57:44.688440
46,samples,0002_samplecrate_sampleinspectionphoto_sampleinspection_and_more,2023-02-01 14:57:44.750940
47,samples,0003_samplecrate_facility_id_samplecrate_unit_id,2023-02-01 14:57:44.766565
48,samples,0004_alter_sample_date_entered_alter_samplecrate_quantity_and_more,2023-02-01 14:57:44.985315
49,samples,0005_sample_facility_id_sample_unit_id,2023-02-01 14:57:45.032190
50,samples,0006_remove_sampleinspection_id_and_more,2023-02-01 14:57:45.422815
51,samples,0007_alter_samplecrate_project_number,2023-02-01 14:57:45.438440
52,lab_requests,0001_initial,2023-02-01 14:57:46.048791
53,lab_requests,0002_reactortypetest,2023-02-01 14:57:46.095666
54,lab_requests,0003_add_tests,2023-02-01 10:56:59.104060
55,lab_requests,0004_labrequestsample_reactor_test,2023-02-01 10:56:59.150935
56,lab_requests,0005_add_chemistry,2023-02-01 10:56:59.338435
57,lab_requests,0006_auto_20200817_0854,2023-02-01 10:56:59.484919
58,lab_requests,0007_alter_ChemistryTest,2023-02-01 10:56:59.946829
59,lab_requests,0008_ChemistryTest_unique,2023-02-01 10:57:00.040579
60,lab_requests,0009_add_request_notes,2023-02-01 10:57:00.290579
61,lab_requests,0010_rename_parameter fields,2023-02-01 10:57:00.634329
62,lab_requests,0011_update_reactor_test,2023-02-01 10:57:00.728079
63,lab_requests,0012_auto_20201019_2052,2023-02-01 10:57:01.321829
64,lab_requests,0013_add_LabRequestSampleTest,2023-02-01 10:57:01.415579
65,lab_requests,0014_add_test_condition_parameters,2023-02-01 10:57:01.679244
66,lab_requests,0015_remove_chemistry_test,2023-02-01 10:57:01.788619
67,lab_requests,0016_add_location_test,2023-02-01 10:57:02.179244
68,lab_requests,0017_delete_chemistrytesttype,2023-02-01 10:57:02.210494
69,lab_requests,0018_auto_20210105_0920,2023-02-01 10:57:03.038614
70,lab_requests,0019_reactorparameter_units,2023-02-01 10:57:03.069864
71,lab_requests,0020_labrequest_number,2023-02-01 10:57:03.116739
72,lab_requests,0021_labrequest_number_add_index,2023-02-01 10:57:03.147989
73,lab_requests,0022_auto_20210406_1100,2023-02-01 10:57:03.601114
74,lab_requests,0023_add_TestConditionType,2023-02-01 10:57:03.663614
75,lab_requests,0024_reactortest_test_order,2023-02-01 10:57:03.695841
76,lab_requests,0025_alter_reactorparameter_obsolete_and_more,2023-02-01 10:57:03.805216
77,sessions,0001_initial,2023-02-01 10:57:14.896030
78,sites,0001_initial,2023-02-01 10:57:14.911655
79,sites,0002_alter_domain_unique,2023-02-01 10:57:14.927280
80,samples,0008_sampleinspection_full_photo_and_more,2023-04-12 10:55:03.879192
81,samples,0009_alter_sampleinspection_sample_height_and_more,2023-04-12 10:55:04.004194
82,lab_requests,0026_reactortestcondition_water,2023-07-06 08:31:21.650642
83,lab_requests,0027_remove_reactortestparameter_test_testworkbook_and_more,2024-02-12 17:27:18.108015
84,lab_requests,0028_remove_reactortestrun_test_workbook_testworksheet_and_more,2024-02-12 17:27:18.764265
85,lab_requests,0029_alter_testworksheet_start_time,2024-02-12 17:27:18.779899
86,lab_requests,0030_alter_reactortestparameter_run,2024-02-12 17:27:18.873646
87,lab_requests,0031_reactorlocation_and_more,2024-02-12 17:27:18.983018
88,lab_requests,0032_requesttype_delete_samplinglocation_and_more,2024-09-09 07:37:35.904655
89,lab_requests,0033_labrequest_request_type,2024-09-09 07:41:34.210683
90,lab_requests,0034_locationtest_lab_request_sample,2024-09-09 07:41:34.320055
91,lab_requests,0035_data_populate_lab_request_sample_locationtest,2024-09-09 07:41:38.634104
92,lab_requests,0036_alter_locationtest_unique_together_and_more,2024-09-09 07:41:39.055978
93,lab_requests,0037_reactorloadsamples_lab_request_sample_and_more,2024-09-09 07:41:39.446602
94,lab_requests,0038_data_populate_lab_request_sample__ReactorLoadSamples,2024-09-09 07:41:45.930960
95,lab_requests,0039_rls_remove_unique,2024-09-09 07:41:45.977837
96,lab_requests,0039_alter_reactorloadsamples_unique_together_and_more,2024-09-09 07:41:46.430956
97,samples,0010_data_migrate_photos,2024-09-09 07:42:56.945635
98,samples,0011_alter_sampleinspection_full_photo_and_more,2024-09-09 07:42:56.992511
99,samples,0012_remove_sampleinspection_full_photo_and_more,2024-09-09 07:42:57.258134
